Unnamed: 0,project_name,repo_link,score,lang,lines_of_code,num_collaborators,num_branches,loc_per_commit
0,CeVIO.CN,https://github.com/VOICeVIO/CeVIO.CN,0.08,cs,38099.0,1.0,2.0,"(433.44603791598473, -318.5615521003819, 1278.4021258369253, 1295.1238301450562)"
1,HtmlBuilder,https://github.com/maroontress/HtmlBuilder,0.28,cs,24181.0,1.0,1.0,"(1949.7371794871794, -37.55128205128205, 5908.805005056852, 65.77699363560097)"
2,NetCrawlerDetect,https://github.com/gplumb/NetCrawlerDetect,0.31,cs,1624.0,1.0,2.0,"(4732.800189393939, -45.26325757575758, 18080.837696815557, 65.16918244717029)"
0,HwHealthEmoticonConverter,https://github.com/gerard87/HwHealthEmoticonConverter,0.41,java,3628.0,1.0,1.0,"(283.15555555555557, -6.822222222222222, 269.226433681005, 3.673528932078093)"
1,SystemInteract.Net,https://github.com/splitice/SystemInteract.Net,0.44,cs,2480.0,1.0,2.0,"(72.37929292929293, -23.16560606060606, 170.91381476850765, 77.3317821641528)"
0,azure-relay-aspnetserver,https://github.com/Azure/azure-relay-aspnetserver,1.3,cs,2760.0,38.0,2.0,"(481.325380674587, -287.33035855972366, 2941.8742127433675, 1084.8918759226706)"
1,HtmlSanitizer,https://github.com/mganss/HtmlSanitizer,1.31,cs,1750.0,17.0,2.0,"(326.92675049817905, -478.513183020683, 2232.5179538182247, 3945.9120046285325)"
0,CMGTGraph,https://github.com/TobiasNienhaus/CMGTGraph,2.91,cs,1477.0,1.0,1.0,"(3551.0136363636366, -30.732792207792208, 7882.404709498996, 38.20179410390026)"
0,PorOperaUpd,https://github.com/UndertakerBen/PorOperaUpd,6.13,cs,2169.0,1.0,1.0,"(434.8030303030303, -416.9886363636364, 553.0884589596346, 1005.0709621317563)"
0,ARKStatsExtractor,https://github.com/cadon/ARKStatsExtractor,55.37,cs,33716.0,25.0,2.0,"(388.08351788382225, -230.2274789589853, 1013.8385292696009, 665.1564033815281)"
0,JavaOdeInt,https://github.com/fons/JavaOdeInt,55.43,java,1142.0,1.0,2.0,"(6847.000493025493, -2478.754882154882, 15262.717589439646, 10074.1775508177)"
0,FlawBOT.Twitch,https://github.com/CriticalFlaw/FlawBOT.Twitch,6.13,cs,1012.0,1.0,1.0,"(621.125, -252.29166666666669, 95.39250057874919, 269.8227942146063)"
1,FluentScheduler,https://github.com/fluentscheduler/FluentScheduler,6.14,cs,4658.0,12.0,2.0,"(261.57859779109776, -253.2946608946609, 839.1362671685711, 946.3133893359909)"
0,IFME,https://github.com/Anime4000/IFME,55.67,cs,5321.0,15.0,3.0,"(1132.915144583059, -234.35083730396477, 9172.83212341369, 699.1811126026798)"
1,PluginTraceViewer,https://github.com/rappen/PluginTraceViewer,55.69,cs,3128.0,4.0,3.0,"(None, None, None, None)"
0,BmLauncher,https://github.com/neatodev/BmLauncher,55.78,cs,3953.0,1.0,1.0,"(324.0447222222222, -153.19916666666666, 600.1902628638472, 400.7373782207503)"
0,SerialPortHelper,https://github.com/xiaoxinpro/SerialPortHelper,55.84,cs,3585.0,1.0,1.0,"(49.91832649806334, -9.743870186830714, 102.88682738926083, 12.999543208372307)"
0,copy-commons,https://github.com/bytemechanics/copy-commons,55.94,java,2644.0,1.0,1.0,"(None, None, None, None)"
0,FluentScheduler,https://github.com/fluentscheduler/FluentScheduler,6.14,cs,4658.0,12.0,2.0,"(261.57859779109776, -253.2946608946609, 839.1362671685711, 946.3133893359909)"
0,AoE2Tools,https://github.com/gregstein/AoE2Tools,56.01,cs,33846.0,2.0,1.0,"(11305.331196581197, -38.55405982905983, 49967.177990319105, 164.26607002625602)"
0,saxion_project_final_approach,https://github.com/TeodorVecerdi/saxion_project_final_approach,56.08,cs,5064.0,2.0,3.0,"(315.24370370370366, -231.16666666666666, 299.57338270029356, 260.450997737045)"
0,hevner-management-app,https://github.com/NielsKersic/hevner-management-app,56.1,cs,13481.0,1.0,3.0,"(490.41875, -10.360416666666666, 615.1563831280018, 11.069167403824412)"
1,industrious-todo,https://github.com/industriousone/industrious-todo,56.12,cs,13517.0,1.0,1.0,"(897.65, -156.975, 1581.9366799480563, 148.67624969114004)"
0,UnitConverterUltimate,https://github.com/physphil/UnitConverterUltimate,56.39,java,2701.0,19.0,3.0,"(None, None, None, None)"
0,FluentScheduler,https://github.com/fluentscheduler/FluentScheduler,6.14,cs,4658.0,12.0,2.0,"(261.57859779109776, -253.2946608946609, 839.1362671685711, 946.3133893359909)"
0,FileDateTime-Manipulator,https://github.com/Mijo-Software/FileDateTime-Manipulator,56.44,cs,1414.0,1.0,1.0,"(577.4642857142858, -85.69642857142857, 408.5336208780804, 91.06696300909941)"
0,legoivpowertool,https://github.com/ansidev/legoivpowertool,56.59,cs,1571.0,1.0,2.0,"(5628.163924963925, -45.377056277056276, 17575.56118270972, 67.8443664770148)"
0,libpricealarm,https://github.com/drpout/libpricealarm,56.77,java,1048.0,2.0,1.0,"(101.27575757575758, -57.28787878787879, 107.2293016451806, 86.88338579540238)"
0,FluentScheduler,https://github.com/fluentscheduler/FluentScheduler,6.14,cs,4658.0,12.0,2.0,"(261.57859779109776, -253.2946608946609, 839.1362671685711, 946.3133893359909)"
0,NMIP,https://github.com/Skeletony/NMIP,56.81,cs,6589.0,1.0,2.0,"(484.6333333333334, -0.23333333333333334, 755.4032058002755, 0.2516611478423583)"
0,opc-ua-client,https://github.com/convertersystems/opc-ua-client,56.89,cs,35143.0,7.0,2.0,"(1233.39586919105, -639.2848537005164, 5224.952902919129, 2529.538438765508)"
0,SIAModels,https://github.com/pascalalfadian/SIAModels,57.11,java,2236.0,9.0,2.0,"(159.13152173913045, -108.8659420289855, 292.108009307488, 335.231288095222)"
0,15PunkteQuiz,https://github.com/JKamue/15PunkteQuiz,57.22,cs,1143.0,1.0,1.0,"(102.375, -19.975, 137.00193885489358, 25.420488783656385)"
0,tadst,https://github.com/jymden/tadst,57.45,cs,4928.0,2.0,1.0,"(773.8857142857142, -391.97380952380956, 1257.9538621135312, 898.1644621659686)"
0,floaty-fish,https://github.com/pikapak/floaty-fish,57.64,java,1886.0,2.0,1.0,"(441.65, -9.5, 571.5544112330863, 13.435028842544403)"
0,joda-time,https://github.com/JodaOrg/joda-time,57.73,java,112722.0,78.0,3.0,"(296.43752637123106, -165.78817328991775, 1922.4128793243074, 1474.9421825055808)"
1,MKVmergeBatcher,https://github.com/Bazzu85/MKVmergeBatcher,57.74,cs,2177.0,2.0,2.0,"(479.44444444444446, -118.46560846560845, 891.2885841733741, 158.55929906379478)"
0,Auto-Statistic,https://github.com/Zumisha/Auto-Statistic,57.79,cs,1964.0,1.0,1.0,"(14062.076388888889, -122.31666666666666, 38297.173476028634, 147.38870646576282)"
0,InsurgencySandstormRcon,https://github.com/cborrow/InsurgencySandstormRcon,57.91,cs,1801.0,1.0,1.0,"(558.4288194444445, -495.6770833333333, 1236.376554239141, 1192.6868281722097)"
0,LuaToolDotNet,https://github.com/DalvikArt/LuaToolDotNet,58.03,cs,2080.0,2.0,1.0,"(304.91414141414145, -20.41919191919192, 381.82489361986023, 7.177187059022212)"
0,PK01LvovEmulator,https://github.com/izhaks/PK01LvovEmulator,58.49,java,4850.0,1.0,1.0,"(889.0333333333333, -477.1798611111111, 2212.502764342278, 1118.972192119228)"
0,Vinka,https://github.com/Valks-Minecraft-Plugins/Vinka,58.79,java,3652.0,1.0,1.0,"(941.9285714285714, -298.42857142857144, 989.9600340658299, 373.11073295687845)"
0,PlusTiC,https://github.com/Landmaster/PlusTiC,58.81,java,7783.0,9.0,2.0,"(85.67964960666573, -20.566966031280547, 96.49393753463744, 24.175724708234124)"
0,Cfg-NET,https://github.com/dalenewman/Cfg-NET,6.15,cs,33184.0,2.0,1.0,"(437.62216864018336, -447.1720254010695, 952.5876335467262, 1250.1894931531265)"
0,LOLFlashRecorder,https://github.com/Fosyme/LOLFlashRecorder,59.07,cs,1114.0,1.0,2.0,"(429.9800865800866, -36.45324675324675, 786.6315109941512, 36.514942949953124)"
0,10101-SKYSTONE,https://github.com/FTC-10101/10101-SKYSTONE,59.08,java,9958.0,2.0,1.0,"(15619.083333333334, -7957.416666666667, 13529.567958002515, 13780.484920561878)"
0,Cfg-NET,https://github.com/dalenewman/Cfg-NET,6.15,cs,33184.0,2.0,1.0,"(437.62216864018336, -447.1720254010695, 952.5876335467262, 1250.1894931531265)"
0,LoginsAdmin-Xamarin-,https://github.com/Jonatandb/LoginsAdmin-Xamarin-,59.35,cs,12748.0,1.0,1.0,"(207.39931573802542, -55.442424242424245, 272.6803861010504, 27.686104144824892)"
0,disaster-simulator,https://github.com/Emergency-Response-Demo/disaster-simulator,59.45,java,1243.0,7.0,3.0,"(65.76590909090909, -37.00625, 95.69121714023917, 44.85457802323925)"
1,ServiceBusExplorer,https://github.com/paolosalvatori/ServiceBusExplorer,59.46,cs,70691.0,62.0,3.0,"(1452.4315005614153, -1461.5320283589247, 6632.558991369602, 7462.31352398206)"
0,ToolForStudents,https://github.com/cvchris/ToolForStudents,59.63,cs,12493.0,1.0,1.0,"(473.19791666666663, -63.53125, 743.5008214513568, 37.6691151951215)"
0,TheBoyScoutMod,https://github.com/MrpYA45/TheBoyScoutMod,59.85,java,2732.0,3.0,2.0,"(4212.938605442177, -6329.5474489795915, 10368.114684485581, 14125.559296004045)"
1,BatchDeconvolution,https://github.com/Mechanobiology-Lab/BatchDeconvolution,59.85,java,4643.0,1.0,1.0,"(2494.733333333333, -111.06666666666666, 4166.569741806002, 131.7067323007193)"
0,Java2DB,https://github.com/CollinAlpert/Java2DB,6.16,java,4141.0,1.0,1.0,"(175.0265195509098, -79.0638985675571, 250.29546644300035, 122.46260745849298)"
0,EksiSozluk.CloneUI,https://github.com/bozd4g/EksiSozluk.CloneUI,60.25,cs,16927.0,1.0,1.0,"(1049.6785714285713, -190.88690476190476, 1435.1383604100367, 273.28975167685786)"
0,Security-Doors,https://github.com/securedevteam/Security-Doors,6.16,cs,5305.0,5.0,1.0,"(337.13501004248445, -142.99328926125173, 827.8032147076699, 317.6342525466959)"
1,kiamol,https://github.com/sixeyed/kiamol,6.16,cs,4158.0,1.0,3.0,"(880.8066510341511, -128.3229274891775, 2206.8851016853296, 568.1641303031928)"
0,laffsoccer,https://github.com/axelei/laffsoccer,60.33,java,58277.0,3.0,1.0,"(None, None, None, None)"
0,psi-probe,https://github.com/psi-probe/psi-probe,6.16,java,28876.0,25.0,3.0,"(202.90057417867365, -146.36486261594095, 1117.7447847124467, 986.5875036154733)"
0,PsiBarConverter,https://github.com/v1ewpoint/PsiBarConverter,60.68,cs,12843.0,1.0,1.0,"(1124.8777777777777, -152.47777777777776, 1649.8240345002903, 176.06613761542795)"
0,AllegianceForms,https://github.com/aarmo/AllegianceForms,60.69,cs,14207.0,1.0,2.0,"(663.8012526821784, -127.74376587430024, 1626.5260285571383, 148.21435039522305)"
0,mmcs_schedule_app,https://github.com/MihaxXx/mmcs_schedule_app,60.8,cs,12680.0,1.0,1.0,"(639.3954545454545, -7.786363636363637, 887.6954248581263, 3.5162491755367413)"
1,tp2-wiltar-maxaug-tp2,https://github.com/521-A19/tp2-wiltar-maxaug-tp2,60.81,cs,17107.0,3.0,3.0,"(1772.1150793650795, -928.9813492063493, 4120.54259858894, 2221.903576441939)"
0,XWeather,https://github.com/colbylwilliams/XWeather,60.94,cs,12176.0,5.0,3.0,"(1012.3213903147291, -397.6350400239381, 3021.82616086615, 1158.542816326605)"
0,Security-Doors,https://github.com/securedevteam/Security-Doors,6.16,cs,5305.0,5.0,1.0,"(337.13501004248445, -142.99328926125173, 827.8032147076699, 317.6342525466959)"
0,SchoolJump2D,https://github.com/Noxilex/SchoolJump2D,61.1,java,1149.0,1.0,1.0,"(84.81818181818181, -27.136363636363637, 97.01247399274403, 28.72780014859144)"
0,Factory-Frontend,https://github.com/dinnersystem/Factory-Frontend,61.15,cs,1135.0,2.0,2.0,"(12715.989285714286, -1577.6845238095236, 37395.59063018088, 4604.957918134752)"
0,mmdgraphstudio,https://github.com/Spunkmeyer32/mmdgraphstudio,61.19,cs,3285.0,1.0,1.0,"(579.5, -85.025, 372.86145773821494, 15.667455653891817)"
0,OSU-NetcloudMusic-player,https://github.com/windafar/OSU-NetcloudMusic-player,61.2,cs,18514.0,1.0,1.0,"(2543.4761904761904, -144.11428571428573, 5113.024783741365, 152.76356320597606)"
0,Sorting-Algorithm-Visualisation-Tool,https://github.com/nathanjukes/Sorting-Algorithm-Visualisation-Tool,61.34,cs,1940.0,1.0,1.0,"(246.64694041867955, -21.842673107890498, 255.0242289089924, 20.72278350263284)"
0,jsilhouette,https://github.com/kordamp/jsilhouette,61.42,java,2219.0,1.0,2.0,"(448.52450980392155, -229.12745098039215, 1169.8940047861774, 683.984574147377)"
